"Symbol","Description","Category2","Category3","GICS Sector","Market cap","Dividend yield","Country","Action"
"SQ","Square Inc Class A","Common stocks","Large cap","Information Technology","$31,164,759,317","0.00%","USA","Analyze"
"KEYS","Keysight Technologies Inc","Common stocks","Large cap","Information Technology","$31,137,371,291","0.00%","USA","Analyze"
"CEG","Constellation Energy Corporation","Common stocks","Large cap","Utilities","$30,899,950,691","0.45%","USA","Analyze"
"VICI","VICI Properties Inc","REITs","Large cap","Real Estate","$30,838,393,093","4.51%","USA","Analyze"
"ODFL","Old Dominion Freight Line Inc","Common stocks","Large cap","Industrials","$30,693,105,800","0.40%","USA","Analyze"
"NDAQ","Nasdaq Inc","Common stocks","Large cap","Financials","$30,574,155,200","1.22%","USA","Analyze"
"MTB","M&T Bank Corp","Common stocks","Large cap","Financials","$30,208,516,057","2.83%","USA","Analyze"
"GFS","GlobalFoundries Inc","Common stocks","Large cap","Information Technology","$30,155,653,685","0.00%","USA","Analyze"
"IDXX","Idexx Laboratories Inc","Common stocks","Large cap","Health Care","$29,944,692,614","0.00%","USA","Analyze"
"AME","Ametek Inc","Common stocks","Large cap","Industrials","$29,767,124,453","0.66%","USA","Analyze"
"GWW","W.W. Grainger Inc","Common stocks","Large cap","Industrials","$29,526,774,834","1.14%","USA","Analyze"
"ROK","Rockwell Automation Inc","Common stocks","Large cap","Industrials","$29,470,651,493","1.74%","USA","Analyze"
"OTIS","Otis Worldwide Corporation","Common stocks","Large cap","Industrials","$29,427,640,479","1.49%","USA","Analyze"
"TEAM","Atlassian Plc Class A","Common stocks","Large cap","Information Technology","$29,373,904,275","0.00%","United Kingdom","Analyze"
"SBAC","SBA Communications Corporation","REITs","Large cap","Real Estate","$29,116,364,776","1.00%","USA","Analyze"
"LVS","Las Vegas Sands Corp","Common stocks","Large cap","Consumer Discretionary","$29,045,959,543","0.00%","USA","Analyze"
"DLR","Digital Realty Trust, Inc","REITs","Large cap","Real Estate","$28,812,636,161","4.74%","USA","Analyze"
"WEC","WEC Energy Group Inc","Common stocks","Large cap","Utilities","$28,808,635,716","3.10%","USA","Analyze"
"VRSK","Verisk Analytics Inc","Common stocks","Large cap","Industrials","$28,696,988,573","0.67%","USA","Analyze"
"DD","DuPont de Nemours, Inc.","Common stocks","Large cap","Materials","$28,651,589,424","2.24%","USA","Analyze"
"LSXMA","Liberty Media Liberty Siriusxm Series A","Common stocks","Large cap","Communication Services","$28,597,120,918","0.00%","USA","Analyze"
"LSXMK","Liberty Media Liberty Siriusxm Series C","Common stocks","Large cap","Communication Services","$28,597,120,918","0.00%","USA","Analyze"
"FWONK","Liberty Media Formula One Corp Series C","Common stocks","Large cap","Communication Services","$28,597,120,918","0.00%","USA","Analyze"
"FWONA","Liberty Media Formula One Corp Series A","Common stocks","Large cap","Communication Services","$28,597,120,918","0.00%","USA","Analyze"
"DFS","Discover Financial Services","Common stocks","Large cap","Financials","$28,541,163,412","2.09%","USA","Analyze"
"MTD","Mettler Toledo Inc","Common stocks","Large cap","Health Care","$28,469,286,187","0.00%","USA","Analyze"
"PEG","Public Service Enterprise Group Inc","Common stocks","Large cap","Utilities","$27,971,088,106","3.75%","USA","Analyze"
"HPQ","HP Inc","Common stocks","Large cap","Information Technology","$27,784,030,457","3.58%","USA","Analyze"
"WELL","Welltower Inc","REITs","Large cap","Real Estate","$27,710,192,925","1.99%","USA","Analyze"
"BKR","Baker Hughes Company Class A","Common stocks","Large cap","Energy","$27,700,592,405","1.94%","USA","Analyze"
"FAST","Fastenal","Common stocks","Large cap","Industrials","$27,681,485,000","2.54%","USA","Analyze"
"BAX","Baxter International Inc","Common stocks","Large cap","Health Care","$27,398,963,252","2.08%","USA","Analyze"
"CPRT","Copart Inc","Common stocks","Large cap","Industrials","$27,381,689,495","0.00%","USA","Analyze"
"FANG","Diamondback Energy Inc","Common stocks","Large cap","Energy","$27,249,325,094","1.60%","USA","Analyze"
"GLW","Corning Inc","Common stocks","Large cap","Information Technology","$27,209,751,966","3.23%","USA","Analyze"
"STT","State Street Corp","Common stocks","Large cap","Financials","$27,153,570,878","3.12%","USA","Analyze"
"CLR","Continental Resources Inc","Common stocks","Large cap","Energy","$26,851,184,858","1.33%","USA","Analyze"
"PPG","PPG Industries Inc","Common stocks","Large cap","Materials","$26,835,427,847","2.08%","USA","Analyze"
"DHI","D R Horton Inc","Common stocks","Large cap","Consumer Discretionary","$26,714,376,721","1.17%","USA","Analyze"
"ON","ON Semiconductor Corp","Common stocks","Large cap","Information Technology","$26,613,711,929","0.00%","USA","Analyze"
"OKE","Oneok Inc","Common stocks","Large cap","Energy","$26,507,867,306","6.16%","USA","Analyze"
"ES","Eversource Energy","Common stocks","Large cap","Utilities","$26,426,696,144","3.26%","USA","Analyze"
"AWK","American Water Works Inc","Common stocks","Large cap","Utilities","$26,420,845,986","1.72%","USA","Analyze"
"K","Kellogg","Common stocks","Large cap","Consumer Staples","$26,127,487,958","3.01%","USA","Analyze"
"ALNY","Alnylam Pharmaceuticals Inc","Common stocks","Large cap","Health Care","$25,498,831,779","0.00%","USA","Analyze"
"RJF","Raymond James Inc","Common stocks","Large cap","Financials","$25,497,564,673","1.15%","USA","Analyze"
"HRL","Hormel Foods Corp","Common stocks","Large cap","Consumer Staples","$25,370,878,706","2.22%","USA","Analyze"
"GPC","Genuine Parts","Common stocks","Large cap","Consumer Discretionary","$25,106,957,533","1.95%","USA","Analyze"
"LYB","Lyondellbasell Industries NV","Common stocks","Large cap","Materials","$24,893,987,903","5.86%","USA","Analyze"
"IFF","International Flavors & Fragrances","Common stocks","Large cap","Materials","$24,885,384,967","3.22%","USA","Analyze"
"CTRA","Coterra Energy Inc.","Common stocks","Large cap","Energy","$24,766,877,860","1.82%","USA","Analyze"
"APTV","Aptiv Plc","Common stocks","Large cap","Consumer Discretionary","$24,673,679,340","0.00%","Ireland","Analyze"
"FITB","Fifth Third Bancorp","Common stocks","Large cap","Financials","$24,490,104,968","3.40%","USA","Analyze"
"AVB","AvalonBay Communities, Inc","REITs","Large cap","Real Estate","$24,487,191,061","3.59%","USA","Analyze"
"RBLX","Roblox Corp","Common stocks","Large cap","Communication Services","$24,402,467,153","0.00%","USA","Analyze"
"TSCO","Tractor Supply","Common stocks","Large cap","Consumer Discretionary","$24,394,489,340","1.48%","USA","Analyze"
"LCID","Lucid Group, Inc.","Common stocks","Large cap","Consumer Discretionary","$23,976,171,251","0.00%","USA","Analyze"
"IT","Gartner Inc","Common stocks","Large cap","Information Technology","$23,880,029,986","0.00%","USA","Analyze"
"ARE","Alexandria Real Estate Equities, Inc","REITs","Large cap","Real Estate","$23,841,881,203","3.17%","USA","Analyze"
"EQR","Equity Residential","REITs","Large cap","Real Estate","$23,816,450,338","3.88%","USA","Analyze"
"ZBH","Zimmer Biomet Holdings Inc","Common stocks","Large cap","Health Care","$23,783,045,766","0.84%","USA","Analyze"
"EXR","Extra Space Storage Inc","REITs","Large cap","Real Estate","$23,761,351,668","3.20%","USA","Analyze"
"TROW","T Rowe Price Group Inc","Common stocks","Large cap","Financials","$23,723,024,442","4.34%","USA","Analyze"
"WTW","Willis Towers Watson Public Limited Company","Common stocks","Large cap","Financials","$23,618,531,278","1.49%","USA","Analyze"
"SGEN","Seattle Genetics Inc","Common stocks","Large cap","Health Care","$23,609,148,811","0.00%","USA","Analyze"
"VEEV","Veeva Systems Inc Class A","Common stocks","Large cap","Health Care","$23,598,254,185","0.00%","USA","Analyze"
"TTD","Trade Desk Inc Class A","Common stocks","Large cap","Communication Services","$23,536,916,375","0.00%","USA","Analyze"
"SIRI","Sirius Xm Holdings Inc","Common stocks","Large cap","Communication Services","$23,521,091,530","1.44%","USA","Analyze"
"DDOG","Datadog, Inc. - Class A","Common stocks","Large cap","Information Technology","$23,413,583,681","0.00%","USA","Analyze"
"CDW","CDW Corp","Common stocks","Large cap","Information Technology","$23,349,347,573","1.15%","USA","Analyze"
"HIG","Hartford Financial Services Group","Common stocks","Large cap","Financials","$23,033,543,449","2.11%","USA","Analyze"
"LEN.B","Lennar Corporation Class B","Common stocks","Large cap","Consumer Discretionary","$22,933,684,617","2.28%","USA","Analyze"
"LEN","Lennar Corporation Class A","Common stocks","Large cap","Consumer Discretionary","$22,933,684,617","1.85%","USA","Analyze"
"EIX","Edison International","Common stocks","Large cap","Utilities","$22,901,176,379","4.59%","USA","Analyze"
"WY","Weyerhaeuser Company","REITs","Large cap","Real Estate","$22,761,912,810","2.26%","USA","Analyze"
"FTV","Fortive Corp","Common stocks","Large cap","Industrials","$22,608,347,367","0.44%","USA","Analyze"
"CBRE","CBRE Group Inc","Common stocks","Large cap","Real Estate","$22,413,389,286","0.00%","USA","Analyze"
"ZS","Zscaler Inc","Common stocks","Large cap","Information Technology","$22,044,388,401","0.00%","USA","Analyze"
"PFG","Principal Financial Group Inc","Common stocks","Large cap","Financials","$21,965,286,334","2.87%","USA","Analyze"
"HBAN","Huntington Bancshares Inc","Common stocks","Large cap","Financials","$21,900,705,991","4.02%","USA","Analyze"
"EBAY","Ebay Inc","Common stocks","Large cap","Consumer Discretionary","$21,886,814,546","2.10%","USA","Analyze"
"URI","United Rentals Inc","Common stocks","Large cap","Industrials","$21,881,380,537","0.00%","USA","Analyze"
"ETR","Entergy Corp","Common stocks","Large cap","Utilities","$21,794,203,984","3.72%","USA","Analyze"
"VMC","Vulcan Materials","Common stocks","Large cap","Materials","$21,755,888,462","0.96%","USA","Analyze"
"DAL","Delta Air Lines Inc","Common stocks","Large cap","Industrials","$21,755,521,123","0.00%","USA","Analyze"
"DTE","DTE Energy","Common stocks","Large cap","Utilities","$21,720,414,611","3.12%","USA","Analyze"
"FRC","First Republic Bank","Common stocks","Large cap","Financials","$21,575,582,001","0.86%","USA","Analyze"
"LUV","Southwest Airlines","Common stocks","Large cap","Industrials","$21,568,278,352","0.00%","USA","Analyze"
"FE","Firstenergy Corp","Common stocks","Large cap","Utilities","$21,560,812,983","4.08%","USA","Analyze"
"MRO","Marathon Oil Corp","Common stocks","Large cap","Energy","$21,549,186,657","0.95%","USA","Analyze"
"ULTA","Ulta Beauty Inc","Common stocks","Large cap","Consumer Discretionary","$21,480,759,616","0.00%","USA","Analyze"
"VRSN","Verisign Inc","Common stocks","Large cap","Information Technology","$21,252,058,770","0.00%","USA","Analyze"
"ACGL","Arch Capital Group Ltd","Common stocks","Large cap","Financials","$21,225,388,310","0.00%","USA","Analyze"
"CF","CF Industries Holdings Inc","Common stocks","Large cap","Materials","$21,173,424,449","1.31%","USA","Analyze"
"MKC","McCormick & Co  Non-voting","Common stocks","Large cap","Consumer Staples","$21,120,146,171","1.87%","USA","Analyze"
"AEE","Ameren Corp","Common stocks","Large cap","Utilities","$21,062,371,720","2.83%","USA","Analyze"
"MOH","Molina Healthcare Inc","Common stocks","Large cap","Health Care","$20,957,424,000","0.00%","USA","Analyze"
"UI","Ubiquiti Inc.","Common stocks","Large cap","Information Technology","$20,953,690,214","0.69%","USA","Analyze"
"MLM","Martin Marietta Materials Inc","Common stocks","Large cap","Materials","$20,953,554,978","0.74%","USA","Analyze"
"ZM","Zoom Video Communications, Inc. - Class A","Common stocks","Large cap","Information Technology","$20,941,366,850","0.00%","USA","Analyze"
"PAYC","Paycom Software Inc","Common stocks","Large cap","Information Technology","$20,769,116,408","0.00%","USA","Analyze"
"EFX","Equifax Inc","Common stocks","Large cap","Industrials","$20,759,058,953","0.92%","USA","Analyze"
"ROL","Rollins Inc","Common stocks","Large cap","Industrials","$20,723,240,107","0.95%","USA","Analyze"
"LH","Laboratory Corporation Of America","Common stocks","Large cap","Health Care","$20,566,422,000","0.65%","USA","Analyze"
"RF","Regions Financial Corp","Common stocks","Large cap","Financials","$20,509,999,334","3.20%","USA","Analyze"
"LPLA","LPL Financial Holdings Inc","Common stocks","Large cap","Financials","$20,393,146,302","0.39%","USA","Analyze"
"IR","Ingersoll Rand Plc","Common stocks","Large cap","Industrials","$20,360,643,328","0.16%","USA","Analyze"
"PWR","Quanta Services Inc","Common stocks","Large cap","Industrials","$20,314,980,812","0.20%","USA","Analyze"
"CFG","Citizens Financial Group Inc","Common stocks","Large cap","Financials","$20,271,815,101","2.90%","USA","Analyze"
"EPAM","Epam Systems Inc","Common stocks","Large cap","Information Technology","$20,078,601,200","0.00%","USA","Analyze"
"CAH","Cardinal Health Inc","Common stocks","Large cap","Health Care","$19,886,820,627","2.57%","USA","Analyze"
"TSN","Tyson Foods Inc Class A","Common stocks","Large cap","Consumer Staples","$19,795,319,900","2.68%","USA","Analyze"
"TTWO","Take Two Interactive Software Inc","Common stocks","Large cap","Communication Services","$19,749,514,018","0.00%","USA","Analyze"
"WRB","WR Berkley Corp","Common stocks","Large cap","Financials","$19,731,004,252","0.50%","USA","Analyze"
"PPL","PPL Corporation","Common stocks","Large cap","Utilities","$19,501,534,531","3.96%","USA","Analyze"
"MOS","Mosaic","Common stocks","Large cap","Materials","$19,457,140,520","0.90%","USA","Analyze"
"INVH","Invitation Homes Inc","REITs","Large cap","Real Estate","$19,375,580,016","2.60%","USA","Analyze"
"HEI","Heico Corp","Common stocks","Large cap","Industrials","$19,314,542,352","0.11%","USA","Analyze"
"HEI.A","Heico Corporation Class A","Common stocks","Large cap","Industrials","$19,314,542,352","0.14%","USA","Analyze"
"ANSS","Ansys Inc","Common stocks","Large cap","Information Technology","$19,256,105,951","0.00%","USA","Analyze"
"TDY","Teledyne Technologies Inc","Common stocks","Large cap","Information Technology","$18,651,190,621","0.00%","USA","Analyze"
"RPRX","Royalty Pharma plc - Class A","Common stocks","Large cap","Health Care","$18,499,730,013","1.74%","USA","Analyze"
"XYL","Xylem Inc","Common stocks","Large cap","Industrials","$18,456,018,189","1.15%","USA","Analyze"
"HPE","Hewlett Packard Enterprise","Common stocks","Large cap","Information Technology","$18,361,221,786","3.32%","USA","Analyze"
"DOV","Dover Corp","Common stocks","Large cap","Industrials","$18,342,857,726","1.53%","USA","Analyze"
"LYV","Live Nation Entertainment Inc","Common stocks","Large cap","Communication Services","$18,308,056,829","0.00%","USA","Analyze"
"MAA","Mid-America Apartment Communities, Inc","REITs","Large cap","Real Estate","$18,181,856,484","2.94%","USA","Analyze"
"CHD","Church And Dwight Inc","Common stocks","Large cap","Consumer Staples","$18,077,960,563","1.40%","USA","Analyze"
"CLX","Clorox","Common stocks","Large cap","Consumer Staples","$18,014,867,304","3.17%","USA","Analyze"
"CNP","Centerpoint Energy Inc","Common stocks","Large cap","Utilities","$18,010,078,284","2.39%","USA","Analyze"
"ZI","ZoomInfo Technologies Inc. - Class A","Common stocks","Large cap","Communication Services","$17,965,183,200","0.00%","USA","Analyze"
"PODD","Insulet Corp","Common stocks","Large cap","Health Care","$17,962,346,234","0.00%","USA","Analyze"
"WAT","Waters Corp","Common stocks","Large cap","Health Care","$17,913,078,687","0.00%","USA","Analyze"
"TPL","Texas Pacific Land Trust","Common stocks","Large cap","Energy","$17,764,984,907","0.51%","USA","Analyze"
"JBHT","JB Hunt Transport Services Inc","Common stocks","Large cap","Industrials","$17,759,314,373","0.87%","USA","Analyze"
"BR","Broadridge Financial Solutions Inc","Common stocks","Large cap","Information Technology","$17,653,847,716","1.75%","USA","Analyze"
"CAG","Conagra Brands Inc","Common stocks","Large cap","Consumer Staples","$17,588,658,757","2.58%","USA","Analyze"
"NTRS","Northern Trust Corporation","Common stocks","Large cap","Financials","$17,579,862,018","3.34%","USA","Analyze"
"DRI","Darden Restaurants Inc","Common stocks","Large cap","Consumer Discretionary","$17,518,483,625","3.18%","USA","Analyze"
"J","Jacobs Engineering Group Inc.","Common stocks","Large cap","Industrials","$17,485,555,712","0.68%","USA","Analyze"
"AES","AES Corp","Common stocks","Large cap","Utilities","$17,473,143,290","2.39%","USA","Analyze"
"PLTR","Palantir Technologies Inc.","Common stocks","Large cap","Information Technology","$17,261,933,402","0.00%","USA","Analyze"
"STE","STERIS PLC","Common stocks","Large cap","Health Care","$17,260,526,399","1.02%","USA","Analyze"
"AMCR","Amcor plc","Common stocks","Large cap","Materials","$17,242,846,458","4.09%","United Kingdom","Analyze"
"PANW","Palo Alto Networks Inc","Common stocks","Large cap","Information Technology","$17,114,032,438","0.00%","USA","Analyze"
"WAB","Westinghouse Air Brake Technologies","Common stocks","Large cap","Industrials","$17,037,373,352","0.61%","USA","Analyze"
"WST","West Pharmaceutical Services Inc","Common stocks","Large cap","Health Care","$17,034,990,309","0.31%","USA","Analyze"
"HOLX","Hologic Inc","Common stocks","Large cap","Health Care","$16,926,482,417","0.00%","USA","Analyze"
"GRMN","Garmin Ltd","Common stocks","Large cap","Consumer Discretionary","$16,874,092,661","3.15%","USA","Analyze"
"PKI","Perkinelmer Inc","Common stocks","Large cap","Health Care","$16,860,994,440","0.21%","USA","Analyze"
"IEX","IDEX Corp","Common stocks","Large cap","Industrials","$16,766,866,742","1.05%","USA","Analyze"
"SUI","Sun Communities, Inc","REITs","Large cap","Real Estate","$16,706,597,516","2.55%","USA","Analyze"
"KEY","Keycorp","Common stocks","Large cap","Financials","$16,663,254,429","4.30%","USA","Analyze"
"BRO","Brown & Brown Inc","Common stocks","Large cap","Financials","$16,605,486,475","0.70%","USA","Analyze"
"CMS","CMS Energy Corp","Common stocks","Large cap","Utilities","$16,558,853,894","3.15%","USA","Analyze"
"INCY","Incyte Corp","Common stocks","Large cap","Health Care","$16,535,493,406","0.00%","USA","Analyze"
"STLD","Steel Dynamics Inc","Common stocks","Large cap","Materials","$16,512,491,016","1.35%","USA","Analyze"
"CINF","Cincinnati Financial Corp","Common stocks","Large cap","Financials","$16,448,487,484","2.59%","USA","Analyze"
"EXPD","Expeditors International Of Washington","Common stocks","Large cap","Industrials","$16,414,717,549","1.28%","USA","Analyze"
"DGX","Quest Diagnostics Inc","Common stocks","Large cap","Health Care","$16,359,934,491","1.80%","USA","Analyze"
"MKL","Markel Corp","Common stocks","Large cap","Financials","$16,312,997,001","0.00%","USA","Analyze"
"FDS","Factset Research Systems Inc","Common stocks","Large cap","Financials","$16,202,419,224","0.80%","USA","Analyze"
"BMRN","Biomarin Pharmaceutical Inc","Common stocks","Large cap","Health Care","$16,067,601,098","0.00%","USA","Analyze"
"SJM","J.M. Smucker","Common stocks","Large cap","Consumer Staples","$16,053,929,598","2.62%","USA","Analyze"
"SYF","Synchrony Financial","Common stocks","Large cap","Financials","$16,021,253,180","2.51%","USA","Analyze"
"MPWR","Monolithic Power Systems Inc","Common stocks","Large cap","Information Technology","$15,882,526,050","0.84%","USA","Analyze"
"CPB","Campbell Soup","Common stocks","Large cap","Consumer Staples","$15,860,216,838","2.76%","USA","Analyze"
"NET","Cloudflare, Inc. Class A","Common stocks","Large cap","Information Technology","$15,841,063,941","0.00%","USA","Analyze"
"AGR","Avangrid Inc","Common stocks","Large cap","Utilities","$15,727,873,717","4.27%","USA","Analyze"
"VTR","Ventas, Inc","REITs","Large cap","Real Estate","$15,640,760,416","4.53%","USA","Analyze"
"AZPN","Aspen Technology Inc","Common stocks","Large cap","Information Technology","$15,581,148,301","0.00%","USA","Analyze"
"BALL","Ball Corporation","Common stocks","Large cap","Materials","$15,523,644,857","1.62%","USA","Analyze"
"FSLR","First Solar Inc","Common stocks","Large cap","Information Technology","$15,518,578,648","0.00%","USA","Analyze"
"TRGP","Targa Resources Corp","Common stocks","Large cap","Energy","$15,489,730,327","2.03%","USA","Analyze"
"BBY","Best Buy Inc","Common stocks","Large cap","Consumer Discretionary","$15,401,198,507","4.80%","USA","Analyze"
"FOX","Fox Corporation Class B","Common stocks","Large cap","Communication Services","$15,386,735,636","1.79%","USA","Analyze"
"FOXA","Fox Corporation Class A","Common stocks","Large cap","Communication Services","$15,386,735,636","1.69%","USA","Analyze"
"EQT","EQT Corporation","Common stocks","Large cap","Energy","$15,357,204,849","0.95%","USA","Analyze"
"LKQ","LKQ Corp","Common stocks","Large cap","Consumer Discretionary","$15,267,058,376","1.78%","USA","Analyze"
"ALGN","Align Technology Inc","Common stocks","Large cap","Health Care","$15,176,420,346","0.00%","USA","Analyze"
"NTAP","NetApp Inc","Common stocks","Large cap","Information Technology","$15,056,922,385","2.86%","USA","Analyze"
"FMC","FMC Corp","Common stocks","Large cap","Materials","$14,976,557,084","1.77%","USA","Analyze"
"ATO","Atmos Energy Corp","Common stocks","Large cap","Utilities","$14,905,483,863","2.53%","USA","Analyze"
"TRMB","Trimble Inc","Common stocks","Large cap","Information Technology","$14,899,070,267","0.00%","USA","Analyze"
"APA","Apache Corp","Common stocks","Large cap","Energy","$14,844,065,256","1.37%","USA","Analyze"
"OMC","Omnicom Group Inc","Common stocks","Large cap","Communication Services","$14,834,898,312","3.79%","USA","Analyze"
"BG","Bunge Ltd","Common stocks","Large cap","Consumer Staples","$14,785,276,088","2.21%","USA","Analyze"
"HWM","Howmet Aerospace Inc.","Common stocks","Large cap","Industrials","$14,767,577,290","0.22%","USA","Analyze"
"WPC","W. P. Carey Inc","REITs","Large cap","Real Estate","$14,718,950,291","5.44%","USA","Analyze"
"ZBRA","Zebra Technologies Corp","Common stocks","Large cap","Information Technology","$14,667,947,090","0.00%","USA","Analyze"
"IRM","Iron Mountain Incorporated","REITs","Large cap","Real Estate","$14,548,416,208","4.85%","USA","Analyze"
"JKHY","Jack Henry & Associates, Inc.","Common stocks","Large cap","Information Technology","$14,508,071,069","0.97%","USA","Analyze"
"PINS","Pinterest, Inc. Class A","Common stocks","Large cap","Communication Services","$14,453,750,984","0.00%","USA","Analyze"
"SPOT","Spotify Technology SA","Common stocks","Large cap","Communication Services","$14,443,716,733","0.00%","Luxembourg","Analyze"
"BAH","Booz Allen Hamilton Holding Corp","Common stocks","Large cap","Industrials","$14,392,820,020","1.51%","USA","Analyze"
"ESS","Essex Property Trust, Inc","REITs","Large cap","Real Estate","$14,390,887,179","3.86%","USA","Analyze"
"HZNP","Horizon Pharma Plc","Common stocks","Large cap","Health Care","$14,357,554,125","0.00%","USA","Analyze"
"TXT","Textron Inc","Common stocks","Large cap","Industrials","$14,288,319,544","0.12%","USA","Analyze"
"HUBS","Hubspot Inc","Common stocks","Large cap","Information Technology","$14,240,574,842","0.00%","USA","Analyze"
"EXPE","Expedia Inc","Common stocks","Large cap","Consumer Discretionary","$14,210,725,471","0.00%","USA","Analyze"
"BILL","Bill.com Holdings, Inc.","Common stocks","Large cap","Information Technology","$14,089,704,978","0.00%","USA","Analyze"
"UAL","United Continental Holdings Inc","Common stocks","Large cap","Industrials","$14,076,161,590","0.00%","USA","Analyze"
"AKAM","Akamai Technologies Inc","Common stocks","Large cap","Information Technology","$14,040,684,441","0.00%","USA","Analyze"
"EVRG","Evergy Inc","Common stocks","Large cap","Utilities","$14,030,679,799","3.70%","USA","Analyze"
"MGM","MGM Resorts International","Common stocks","Large cap","Consumer Discretionary","$13,982,643,369","0.03%","USA","Analyze"
"FLT","Fleetcor Technologies Inc","Common stocks","Large cap","Information Technology","$13,961,483,399","0.00%","USA","Analyze"
"NVR","NVR, Inc.","Common stocks","Large cap","Consumer Discretionary","$13,911,113,604","0.00%","USA","Analyze"
"LDOS","Leidos Holdings Inc","Common stocks","Large cap","Industrials","$13,871,163,313","1.41%","USA","Analyze"
"PTC","PTC Inc","Common stocks","Large cap","Information Technology","$13,841,063,438","0.00%","USA","Analyze"
"DASH","DoorDash Inc","Common stocks","Large cap","Consumer Discretionary","$13,827,739,800","0.00%","USA","Analyze"
"SWKS","Skyworks Solutions Inc","Common stocks","Large cap","Information Technology","$13,799,925,454","2.65%","USA","Analyze"
"AVY","Avery Dennison Corp","Common stocks","Large cap","Materials","$13,777,023,807","1.69%","USA","Analyze"
"L","Loews Corp","Common stocks","Large cap","Financials","$13,738,817,498","0.44%","USA","Analyze"
"SIVB","SVB Financial Group","Common stocks","Large cap","Financials","$13,645,649,163","0.00%","USA","Analyze"
"RCL","Royal Caribbean Cruises Ltd","Common stocks","Large cap","Consumer Discretionary","$13,615,059,936","0.00%","USA","Analyze"
"AVTR","Avantor, Inc.","Common stocks","Large cap","Health Care","$13,598,703,030","0.00%","USA","Analyze"
"RKT","Rocket Companies, Inc. Class A","Common stocks","Large cap","Financials","$13,554,061,589","0.00%","USA","Analyze"
"SPLK","Splunk Inc","Common stocks","Large cap","Information Technology","$13,521,997,000","0.00%","USA","Analyze"
"HST","Host Hotels & Resorts, Inc","REITs","Large cap","Real Estate","$13,497,172,684","1.11%","USA","Analyze"
"COO","Cooper Companies, Inc.","Common stocks","Large cap","Health Care","$13,490,698,839","0.02%","USA","Analyze"
"TYL","Tyler Technologies Inc","Common stocks","Large cap","Information Technology","$13,463,428,220","0.00%","USA","Analyze"
"DINO","HF Sinclair Corporation","Common stocks","Large cap","Energy","$13,264,321,972","1.30%","USA","Analyze"
"KIM","Kimco Realty Corporation","REITs","Large cap","Real Estate","$13,222,692,524","3.60%","USA","Analyze"
"CBOE","Cboe Global Markets, Inc.","Common stocks","Large cap","Financials","$13,204,749,627","1.55%","USA","Analyze"
"SSNC","SS&C Technologies Holdings, Inc.","Common stocks","Large cap","Information Technology","$13,113,454,968","1.55%","USA","Analyze"
"FHN","First Horizon National Corp","Common stocks","Large cap","Financials","$13,105,532,736","2.42%","USA","Analyze"
"LNT","Alliant Energy Corp","Common stocks","Large cap","Utilities","$13,090,821,523","3.24%","USA","Analyze"
"ARES","Ares Management Corporation Class A","Common stocks","Large cap","Financials","$13,040,959,796","3.00%","USA","Analyze"
"UDR","UDR, Inc","REITs","Large cap","Real Estate","$12,943,541,173","3.73%","USA","Analyze"
"PCTY","Paylocity Holding Corp","Common stocks","Large cap","Information Technology","$12,904,210,562","0.00%","USA","Analyze"
"TWLO","Twilio Inc Class A","Common stocks","Large cap","Information Technology","$12,888,906,292","0.00%","USA","Analyze"
"NLOK","NortonLifeLock Inc.","Common stocks","Large cap","Information Technology","$12,872,877,895","2.20%","USA","Analyze"
"NDSN","Nordson Corp","Common stocks","Large cap","Industrials","$12,872,406,600","0.97%","USA","Analyze"
"RS","Reliance Steel & Aluminum","Common stocks","Large cap","Materials","$12,845,616,705","1.63%","USA","Analyze"
"LBRDA","Liberty Broadband Corp Series A","Common stocks","Large cap","Communication Services","$12,822,905,753","0.00%","USA","Analyze"
"LBRDK","Liberty Broadband Corp Series C","Common stocks","Large cap","Communication Services","$12,822,905,753","0.00%","USA","Analyze"
"GLPI","Gaming and Leisure Properties, Inc","REITs","Large cap","Real Estate","$12,804,624,671","5.40%","USA","Analyze"
"PEAK","Healthpeak Properties, Inc.","REITs","Large cap","Real Estate","$12,804,267,524","4.98%","USA","Analyze"
"TER","Teradyne Inc","Common stocks","Large cap","Information Technology","$12,754,189,668","0.53%","USA","Analyze"
"HUBB","Hubbell Inc","Common stocks","Large cap","Industrials","$12,754,060,271","1.75%","USA","Analyze"
"RE","Everest Re Group Ltd","Common stocks","Large cap","Financials","$12,716,177,733","1.97%","USA","Analyze"
"OVV","Ovintiv Inc.","Common stocks","Large cap","Energy","$12,696,898,390","1.65%","USA","Analyze"
"DAR","Darling Ingredients Inc","Common stocks","Large cap","Consumer Staples","$12,585,968,740","0.00%","USA","Analyze"
"MDB","MongoDB, Inc. Class A","Common stocks","Large cap","Information Technology","$12,575,457,585","0.00%","USA","Analyze"
"GDDY","GoDaddy Inc. Class A","Common stocks","Large cap","Information Technology","$12,571,957,291","0.00%","USA","Analyze"
"WLK","Westlake Chemical Corp","Common stocks","Large cap","Materials","$12,403,017,180","1.29%","USA","Analyze"
"LW","Lamb Weston Holdings Inc","Common stocks","Large cap","Consumer Staples","$12,401,126,409","1.12%","USA","Analyze"
"CHK","Chesapeake Energy Corporation","Common stocks","Large cap","Energy","$12,359,300,864","6.67%","USA","Analyze"
"AFG","American Financial Group Inc","Common stocks","Large cap","Financials","$12,357,901,788","1.53%","USA","Analyze"
